id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1509240289415905284,1509240289415905284,2022-03-30 13:44:59 CDT,2022-03-30,13:44:59,-0500,1349149096909668363,potus,President Biden,,"When I took office about 14 months ago, the pandemic was raging, the economy was reeling, and the deficit was soaring.  Most schools were closed. We didn’t have enough vaccines. And unemployment claims were sky-high.",en,[],[],[],980,1351,8025,[],[],https://twitter.com/POTUS/status/1509240289415905284,False,,0,,,,,,,,[],,,,
1509222618934616065,1509222618934616065,2022-03-30 12:34:47 CDT,2022-03-30,12:34:47,-0500,1427361863830949908,drjbhattacharya,Jay Bhattacharya,,"There was never any scientific basis for the idea that vaccinated people do not ""carry the virus."" This false idea was the fundamental premise behind the discriminatory vaccine mandate/passport scheme that has violated the civil rights of countless people worldwide.",en,[],[],[],195,2306,6225,[],[],https://twitter.com/DrJBhattacharya/status/1509222618934616065,False,https://twitter.com/KyleMartinsen_/status/1509206752780238851,0,,,,,,,,[],,,,
1509011825593139203,1509011825593139203,2022-03-29 22:37:09 CDT,2022-03-29,22:37:09,-0500,87371781,imani_barbarin,"Imani Barbarin, MAGC | Crutches&Spice ♿️",,"Oh also, Autism Speaks is in large part the reason why people believe vaccines cause autism, so if you think their ableism and harm doesn’t affect you…look around.",en,[],[],[],23,2009,8047,[],[],https://twitter.com/Imani_Barbarin/status/1509011825593139203,False,,0,,,,,,,,[],,,,
1508962451210924040,1508918848262897664,2022-03-29 19:20:58 CDT,2022-03-29,19:20:58,-0500,1276736395390750721,ycsm1n,yasmin,,"also, jim carrey and his ex jenny mccarthy, were the highest profile celebs purveying the myth that vaccines cause autism. they signal boosted fraudulent physician's claims early on and their disinformation of life-saving measures contributed to actual deaths of human beings!",en,[],[],[],59,978,11808,[],[],https://twitter.com/ycsm1n/status/1508962451210924040,False,,0,,,,,,,,[],,,,
1508957932054097923,1508957932054097923,2022-03-29 19:03:00 CDT,2022-03-29,19:03:00,-0500,713752653289955329,jdcocchiarella,Jack Cocchiarella,,Who else is excited to get their 4th COIVD vaccine when it’s available?,en,[],[],[],1947,820,21132,[],[],https://twitter.com/JDCocchiarella/status/1508957932054097923,False,,0,,,,,,,,[],,,,
1508927875541467137,1508927875541467137,2022-03-29 17:03:34 CDT,2022-03-29,17:03:34,-0500,3180247177,kevinkileyca,Kevin Kiley,,"We've defeated AB 1993, the employer vaccine mandate. The author just announced she will not move it forward.",en,[],[],[],834,3162,21015,[],[],https://twitter.com/KevinKileyCA/status/1508927875541467137,False,,0,,,,,,,,[],,,,
1508906203572850689,1508906203572850689,2022-03-29 15:37:27 CDT,2022-03-29,15:37:27,-0500,806344552718045184,drsimonegold,Dr. Simone Gold,,"Per the New York Times, “the CDC isn’t publishing large portions of the COVID data it collects.”  The agency has been reluctant to make those figures public “because they might be misinterpreted as the vaccines being ineffective.”  This is scientific fraud and censorship.",en,[],[],[],220,5155,14585,[],[],https://twitter.com/drsimonegold/status/1508906203572850689,False,,0,,,,,,,,[],,,,
1508896465099309059,1508896465099309059,2022-03-29 14:58:45 CDT,2022-03-29,14:58:45,-0500,68116803,lilyaee_,Cécile,,C’est a quel moment que les vaccinés on devait tous mourir ? Juste pour m’organiser les prochains mois svp merci,fr,[],[],[],484,757,6279,[],[],https://twitter.com/lilyaee_/status/1508896465099309059,False,,0,,,,,,,,[],,,,
1508874733777047563,1508874733777047563,2022-03-29 13:32:24 CDT,2022-03-29,13:32:24,-0500,25816369,drdavidsamadi,Dr. David Samadi,,The FDA has now announced that the immunocompromised can get a fifth dose of an mNRA COVID-19 vaccine and those 50 and older can get a fourth booster dose.  What number shot are YOU on?,en,[],[],[],6869,1672,5618,[],[],https://twitter.com/drdavidsamadi/status/1508874733777047563,False,,0,,,,,,,,[],,,,
1508870437844897793,1508870437844897793,2022-03-29 13:15:20 CDT,2022-03-29,13:15:20,-0500,3843191833,k_blacck,DST Abolitionist,,Jim Carrey thinks vaccines cause autism so forgive me for not giving a shit about anything he says.,en,[],[],[],119,3007,20388,[],[],https://twitter.com/K_Blacck/status/1508870437844897793,False,https://twitter.com/TMZ/status/1508866126091997196,0,,,,,,,,[],,,,
